Video ID,Cleaned Comment,Movie Rating,Volgur Comment,Movie Category
JZMT84XFbSk,this movie is excellent bro..niku anil ravipudi movies anni nacchuthai annappude ni judgement ki value poindhi..anaganaga oka raju is way better than u explained..just pollitical result expected anthe..migatha antha surprise ye,Excellent,No,Not Able to Judge
JZMT84XFbSk,"Its full family movie ra , stop seeing crime and worthless low life movies",Neutral,No,Not Able to Judge
JZMT84XFbSk,Exactly second half lo comedy scenes were too good. Bulliraju unnapudu scenes are crazy,Very Good,No,Not Able to Judge
JZMT84XFbSk,Super movie.go watch it,Very Good,No,Not Able to Judge
JZMT84XFbSk,First half avg. Emotional sequence in Second half worked superbly for me,Neutral,No,Not Able to Judge
JZMT84XFbSk,"Second half better than all movies released in this season, I love the second half very well",Neutral,No,Not Able to Judge
JZMT84XFbSk,Super,Excellent,No,Not Able to Judge
JZMT84XFbSk,One of the kickass theatre experience in new year! Great Naveen Polishettty just nailed it! Sure blockbuster!,Excellent,Yes,Not Able to Judge
JZMT84XFbSk,Chala bore kottindhi movie .Ee type comedy yeppdo chusaam,Not Good,No,Not Able to Judge
JZMT84XFbSk,Second half was a letdown with cheap comedy and the entire president campaign episodes did not work.Surprised to see Ram liking second half better than first half,Poor,Yes,Not Able to Judge
JZMT84XFbSk,The Real Sankranthi Winner Anaganga Oka Raju 👑 💥,Neutral,No,Not Able to Judge
JZMT84XFbSk,Bro cinema kuttha bagal undi ee cinema ki navvakapothe u need to get urself checked,Poor,Yes,Not Able to Judge
JZMT84XFbSk,Nice movie,Very Good,No,Not Able to Judge
JZMT84XFbSk,Such a nice no braner movie 🎥,Very Good,No,Not Able to Judge
JZMT84XFbSk,Gud movie block buster movie one man show naveen polishetty comedy worked,Excellent,No,Not Able to Judge
ti3Gqd2HQpI,Sankranthi winner 🏆🥇,Excellent,No,Not Able to Judge
ti3Gqd2HQpI,Honestly I really enjoyed the music,Neutral,No,Not Able to Judge
ti3Gqd2HQpI,One min kuda bore kottaledhu best movie Sankranti winner,Excellent,No,Not Able to Judge
ti3Gqd2HQpI,Nari Nari Naduma Muraari movie chalabagundhi,Excellent,No,Not Able to Judge
ti3Gqd2HQpI,"1 37 same feeling. Comedy scenes vachinappudu bagundi ..lovestory vachinappudu bore feel especially Naresh, vennela kishore scenes rocked😂",Neutral,No,Not Able to Judge
ti3Gqd2HQpI,Super movie. All others rotta,Neutral,Yes,Not Able to Judge
ti3Gqd2HQpI,"Nari nari naduma Murari, Routine Template cinemalu Choosi choosi burra panicheyyaka paraari",Poor,No,Not Able to Judge
ti3Gqd2HQpI,Naresh comedy is awesome,Not Good,No,Not Able to Judge
ti3Gqd2HQpI,"Best movie of this sankranti, complete fun",Excellent,No,Not Able to Judge
ti3Gqd2HQpI,Good,Neutral,No,Not Able to Judge
ti3Gqd2HQpI,best sankranthi movie no cringe comedy no1 sankranthi winner,Excellent,No,Not Able to Judge
ti3Gqd2HQpI,Good movie must watch 🏻,Very Good,No,Not Able to Judge
ti3Gqd2HQpI,There there backside. hot wheels collection 😍,Neutral,No,Not Able to Judge
9IkS9sGJeeg,Upto pre interval movie is nice,Neutral,No,Not Able to Judge
9IkS9sGJeeg,Waste movie.so much of cringe comedy and chiranjeevi is just super terrible in this movie.He only suits as an action hero and not comedy,Poor,No,Not Able to Judge
9IkS9sGJeeg,Miru yentha cheppina 500 crores anil finger mida hair kuda,Neutral,No,Not Able to Judge
9IkS9sGJeeg,"Loved chiru sir so graceful , boss grace, But i didn t laugh , and also nenu vellina theatre lo no navvulu 😅,",Excellent,Yes,Not Able to Judge
9IkS9sGJeeg,loved Venky s cameo portions,Very Good,Yes,Not Able to Judge
9IkS9sGJeeg,Flop,Poor,Yes,Not Able to Judge
9IkS9sGJeeg,Venky badulu Brahmanandam vachunte vaste excellent,Neutral,No,Not Able to Judge
9IkS9sGJeeg,You are not.a normal audien Director said before.only clean entertainer They know s clearly what they did finally reached their target Sankranthi hit movie 🎉,Neutral,No,Not Able to Judge
9IkS9sGJeeg,సూపర్ వెంకీ చిరు కాంబినేషn నీకు నచ్చలేదేమో bro మాకు బాగా నచ్చింది,Very Good,No,Not Able to Judge
9IkS9sGJeeg,Not the best film from ANil,Not Good,No,Not Able to Judge
9IkS9sGJeeg,but if the second half is let down in energy. Verdict will be average from Anil Ravipudi. It needs lot of effort amid competition between AOR and NNNM movies,Poor,No,Not Able to Judge
9IkS9sGJeeg,Cinima matram super,Very Good,No,Not Able to Judge
9IkS9sGJeeg,"Boss comedy timing, Fights Elevations, Kids Sentiment, Venky chiru combo, Dance, Pandaga Bomma 👏👏",Excellent,No,Not Able to Judge
9IkS9sGJeeg,"Asal bagundey 2nd half meesala pilla mundu scene, tarwata venky mama Bossu chese allari adiripoddi🎉",Very Good,No,Not Able to Judge
9IkS9sGJeeg,Movie superb,Very Good,Yes,Not Able to Judge
9IkS9sGJeeg,Second half top good .,Very Good,No,Not Able to Judge
9IkS9sGJeeg,Blockbuster MSVP,Excellent,No,Not Able to Judge
9IkS9sGJeeg,Pongal block buster,Excellent,No,Not Able to Judge
9IkS9sGJeeg,Anni workout ayindhi movie lo I loved it,Very Good,No,Not Able to Judge
9IkS9sGJeeg,"villain avasaram leda? entra babu, nuvvu velli screen play raayi. families mottam padi padi navvutunnaru second half as well.",Neutral,No,Not Able to Judge
9IkS9sGJeeg,చాలా బాగుంది మూవీ.,Very Good,No,Not Able to Judge
9IkS9sGJeeg,Late night show annaru kadha bro. Nidrapoyuntaremo. Movie was wonderful go watch guys. Good entertainment.,Very Good,No,Not Able to Judge
9IkS9sGJeeg,Family Block buster movie,Very Good,No,Not Able to Judge
9IkS9sGJeeg,One Only Mega Star🥵🥵 For me SUPREME is Anil s best movie till now.,Very Good,No,Not Able to Judge
9IkS9sGJeeg,"Family audience tappa migita vallaki cringe pro max ,force comedy",Neutral,No,Not Able to Judge
9IkS9sGJeeg,అనిల్ రావిపుడి career లో biggest block buster movie. చాలా కాలం తర్వాత MEGASTAR rampage ఇది.,Excellent,No,Not Able to Judge
9IkS9sGJeeg,Chiru Venky flat endi sami. Ade workout aindi. Chachipoyaru na pakkana kurchuna people navvaleka. Vallu dance chesina daniki,Neutral,No,Not Able to Judge
9IkS9sGJeeg,Bomma blockbuster.boss ni Chuddam ki rendu kallu saripoledu,Excellent,No,Not Able to Judge
9IkS9sGJeeg,Just average movie,Neutral,No,Not Able to Judge
9IkS9sGJeeg,I loved 2nd half moreeeeee. What are you talking. Great movie,Very Good,No,Not Able to Judge
9IkS9sGJeeg,Second half kooda bagi dho and cameo also nice from audience view,Very Good,Yes,Not Able to Judge
9IkS9sGJeeg,"రూఫ్ టాప్ సీన్ ఏది వర్క్ అవుతుందో, ఏది వర్క్ అవ్వదో ముందే మనకు తెలిసి ఉంటే మనమూ డైరెక్టర్లైపోయేవాళ్లం. తెలియదు కాబట్టే నువ్వు నేను ఆడియన్స్ అయ్యాం. వెంకీ క్యారెక్టర్ సెకండ్ మ్యారేజ్ కు ఎక్కువగా ఏజ్డ్ పర్సన్ నే దొరుకుతారు. పైగా హీరోయిన్ తో కెమిస్ట్రీ కూడా పండాలి. అందుకే వెంకీ సార్ నే కరెక్ట్ గా సెట్ అయ్యారు.",Neutral,No,Not Able to Judge
9IkS9sGJeeg,Super hit cinema,Very Good,No,Not Able to Judge
9IkS9sGJeeg,"Anil Ravipudu made a wise decision by relying on Chiru s grace and the nostalgic factor rather than his cringe worthy comedy scenes. This choice makes the film a must watch. Another excellent decision was to bring in Victory Venkatesh for an extended cameo, which was executed exceptionally well. The last 30 minutes of the movie are worth watching twice and undoubtedly leave a positive impression on the audience. Overall, Ravipudi has once again delivered a Sankranthi blockbuster.",Neutral,No,Not Able to Judge
9IkS9sGJeeg,Apura babu venkatesh cameo natural into script blockbuster movie,Very Good,Yes,Not Able to Judge
9IkS9sGJeeg,"I think this is the least cringe movie Anil,Everthing almost worked for me except interval song by chiru and and his father in law and Ladies sitting scenes",Neutral,No,Not Able to Judge
9IkS9sGJeeg,BLOCKBUSTER MOVIE 🎉,Excellent,No,Not Able to Judge
9IkS9sGJeeg,Venky cameo work aindi naku aite,Very Good,No,Not Able to Judge
9IkS9sGJeeg,bomma block bostereeee boss is back 🔥🔥🔥🔥🔥🔥🔥,Excellent,No,Not Able to Judge
9IkS9sGJeeg,movie blockbuster ram abhayyo thankyou boss sankranthi mogudu 🔥🔥🔥🤙🤙,Excellent,No,Not Able to Judge
9IkS9sGJeeg,"Sorry bro nu ekva expect chesi ellav chiru and venki combo, I am neither fan Nenu ekva expect cheyaledu, but too much undey naku adi asalu tagubothollu kuda connect aytaru. And yeah Villan akkarledu Nenu ankunna, but it was decent anipichindi it allowed for final get together.",Neutral,No,Not Able to Judge
9IkS9sGJeeg,Yem matladutunnav ra Inta kanna cinema baaga yela teestarra Chala bagundi movie,Neutral,No,Not Able to Judge
9IkS9sGJeeg,f3 antha bagodu but remaining movies are good ..,Very Good,No,Not Able to Judge
9IkS9sGJeeg,Main point is to be Self aware 😂😂,Poor,No,Not Able to Judge
9IkS9sGJeeg,Movie superb.,Very Good,No,Not Able to Judge
9IkS9sGJeeg,మూవీ బాగుంది సంక్రాంతి పాస్,Very Good,No,Not Able to Judge
